Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	78.173757	0.000000
CCGT_AMMONIA	0.000004	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	4057.734865	0.000000
WIND_ONSHORE	207.616667	0.000000
WIND_OFFSHORE	124.570000	0.000000
HYDRO_RIVER	3.630607	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	73.081035	0.000000
IND_COGEN_WOOD	0.000002	0.000000
IND_COGEN_WASTE	0.000005	0.000000
IND_BOILER_GAS	0.000007	0.000000
IND_BOILER_WOOD	0.000005	0.000000
IND_BOILER_OIL	0.000003	0.000000
IND_BOILER_COAL	9.832193	0.000000
IND_BOILER_WASTE	3.144050	0.000000
IND_DIRECT_ELEC	0.694647	0.000000
DHN_HP_ELEC	47.820238	0.000000
DHN_COGEN_GAS	0.000015	0.000000
DHN_COGEN_WOOD	0.000002	0.000000
DHN_COGEN_WASTE	0.000004	0.000000
DHN_COGEN_WET_BIOMASS	0.000011	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000008	0.000000
DHN_BOILER_GAS	0.000001	0.000000
DHN_BOILER_WOOD	0.000001	0.000000
DHN_BOILER_OIL	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000004	0.000000
DEC_HP_ELEC	170.316261	0.000000
DEC_THHP_GAS	0.001602	0.000000
DEC_COGEN_GAS	0.000026	0.000000
DEC_COGEN_OIL	0.000020	0.000000
DEC_ADVCOGEN_GAS	0.000023	0.000000
DEC_ADVCOGEN_H2	0.000014	0.000000
DEC_BOILER_GAS	0.000004	0.000000
DEC_BOILER_WOOD	0.000001	0.000000
DEC_BOILER_OIL	0.000003	0.000000
DEC_SOLAR	0.000050	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL_SD	0.000000	0.000000
BUS_COACH_HYDIESEL_SD	0.000000	0.000000
BUS_COACH_CNG_STOICH_SD	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2_SD	0.000000	0.000000
CAR_GASOLINE_SD	0.000000	0.000000
CAR_DIESEL_SD	0.000000	0.000000
CAR_NG_SD	0.000000	0.000000
CAR_METHANOL_SD	0.000000	0.000000
CAR_HEV_SD	0.000000	0.000000
CAR_PHEV_SD	0.000000	0.000000
CAR_BEV_SD	0.000000	0.000000
CAR_FUEL_CELL_SD	0.000000	0.000000
BUS_COACH_DIESEL_LD	0.000000	0.000000
BUS_COACH_HYDIESEL_LD	0.000000	0.000000
BUS_COACH_CNG_STOICH_LD	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2_LD	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE_LD	0.000000	0.000000
CAR_DIESEL_LD	0.000000	0.000000
CAR_NG_LD	0.000000	0.000000
CAR_METHANOL_LD	0.000000	0.000000
CAR_HEV_LD	0.000000	0.000000
CAR_PHEV_LD	0.000000	0.000000
CAR_BEV_LD	0.000000	0.000000
CAR_FUEL_CELL_LD	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	1.082895	0.000000
BATT_LI	0.000319	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
